FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
0801x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0801x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0801.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.797, Avg distance: 45.57)",11452,31043,9130,0.7972406566538596,45.57212569489014,0.9985808730125427,0.0,36.613823176468266,0.02731208907576472,0.02275685966014862,0.0
0802x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0802x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0802.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.836, Avg distance: 32.12)",1778,4997,1487,0.8363329583802025,32.12136052243246,0.998741626739502,0.25,41.616794945276744,0.02402876053561866,0.007490036077797413,0.25
0803x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0803x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0803.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.831, Avg distance: 30.35)",811,1882,674,0.8310727496917386,30.35060722891584,0.9992533326148987,0.75,43.21120506405926,0.023142145619811604,0.005375258158892393,0.75
0804x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0804x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0804.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.763, Avg distance: 46.85)",7119,21859,5432,0.7630285152409046,46.85387646080995,0.9963355660438538,0.0,32.99099026090262,0.03031130596843868,0.03311673179268837,0.0
0805x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0805x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0805.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.788, Avg distance: 44.61)",7662,21614,6034,0.7875228399895589,44.61431208457384,0.9967904686927795,0.0,34.859447569247386,0.028686627865043644,0.03675796091556549,0.0
0806x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0806x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0806.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.769, Avg distance: 40.71)",3056,9738,2349,0.768651832460733,40.706772211664735,0.997183620929718,0.0,33.64464859810108,0.029722408812926062,0.01915692910552025,0.0
0807x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0807x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0807.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.704, Avg distance: 47.58)",6994,26159,4921,0.7036030883614527,47.577311352752275,0.9836955070495605,0.0,25.069681423547138,0.03988881961063663,0.10100749880075455,0.0
0808x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0808x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0808.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.735, Avg distance: 47.06)",3549,12394,2608,0.7348548887010425,47.05913722405404,0.9946773648262024,0.25,31.700132335226403,0.03154560963421473,0.03799045458436012,0.25
0809x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0809x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0809.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.792, Avg distance: 45.18)",7497,19872,5934,0.7915166066426571,45.17987299562103,0.9989212155342102,0.5,40.474212997068065,0.0247070894268516,0.014381898567080498,0.5
0810x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0810x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0810.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.755, Avg distance: 47.06)",6861,29924,5183,0.7554292377204489,47.061634150085915,0.9965364336967468,0.0,33.13329614681788,0.030181120392274646,0.03047073632478714,0.0
0811x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0811x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0811.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.771, Avg distance: 46.39)",7897,24094,6088,0.7709256679751805,46.394940723551244,0.9967327117919922,0.0,35.651644809627285,0.028049196757675605,0.040978848934173584,0.0
0812x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0812x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0812.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.753, Avg distance: 45.12)",5415,18627,4078,0.7530932594644506,45.11836681861747,0.9964349865913391,0.0,33.39748345959617,0.029942375784384676,0.03263907507061958,0.0
0813x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0813x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0813.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.793, Avg distance: 41.66)",3880,10000,3078,0.7932989690721649,41.66429803118139,0.9976412653923035,0.0,36.723289368581966,0.027230676151127526,0.021985527127981186,0.0
0814x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0814x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0814.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.743, Avg distance: 46.38)",3153,10267,2342,0.7427846495401205,46.380756128964315,0.9976302981376648,0.5,33.883668352592,0.029512743118426346,0.02019544504582882,0.5
0815x2,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic/X2/0815x2.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0815.png,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.833, Avg distance: 36.97)",3779,6885,3147,0.8327599894151893,36.968316054624495,0.998717725276947,0.5,39.912946109104645,0.025054527352263968,0.015463756397366524,0.5
