FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
AdolescenceLS_2025_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/AdolescenceLS_2025_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/AdolescenceLS_2025_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.783, Avg distance: 49.04)",1321,3634,1035,0.7834973504920515,49.04362359576755,0.9981943964958191,0.25,40.831309716597644,0.02449100964286499,0.015808887779712677,0.25
Aladdin_1993_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/Aladdin_1993_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/Aladdin_1993_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.763, Avg distance: 46.39)",1568,3532,1196,0.7627551020408163,46.39128454662486,0.9983623623847961,0.0,42.04350167044964,0.023784888514717887,0.012621988542377949,0.0
BirdBox_2018_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/BirdBox_2018_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/BirdBox_2018_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.699, Avg distance: 58.68)",5742,58450,4012,0.6987112504353884,58.68190911124021,0.9969279766082764,0.0,34.03280823498391,0.02938341123939497,0.03360331058502197,0.0
BridgertonS1_2020_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/BridgertonS1_2020_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/BridgertonS1_2020_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.714, Avg distance: 53.91)",3210,16872,2292,0.7140186915887851,53.905939272925075,0.9978446960449219,0.0,39.005806667167114,0.025637208545202156,0.016315428540110588,0.0
CarryOn_2024_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/CarryOn_2024_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/CarryOn_2024_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.718, Avg distance: 51.43)",2909,22418,2089,0.7181161911309728,51.42548133928619,0.9871127605438232,0.25,32.71013541975555,0.030571564047883516,0.05407040938735008,0.25
DahmerMonster_2022_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/DahmerMonster_2022_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/DahmerMonster_2022_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.731, Avg distance: 48.52)",993,4225,726,0.7311178247734139,48.51811196554463,0.9976235032081604,0.0,40.765568785376445,0.024530505271858814,0.02224961295723915,0.0
DontLookUp_2021_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/DontLookUp_2021_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/DontLookUp_2021_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.700, Avg distance: 50.11)",929,11444,650,0.6996770721205597,50.11275308498969,0.9958030581474304,0.0,36.303540199982855,0.027545522957027543,0.045446597039699554,0.0
FindingNemo_2003_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/FindingNemo_2003_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/FindingNemo_2003_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.715, Avg distance: 57.62)",7014,53908,5014,0.714856002281152,57.616043528761104,0.9971292614936829,0.5,36.56232883464836,0.027350555390562213,0.022097185254096985,0.5
Frozen_2014_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/Frozen_2014_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/Frozen_2014_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.739, Avg distance: 52.72)",4088,15456,3022,0.7392367906066536,52.72173681454813,0.997840940952301,0.5,36.46832657685061,0.02742105530651853,0.02128489315509796,0.5
InsideOut2_2024_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/InsideOut2_2024_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/InsideOut2_2024_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.713, Avg distance: 58.11)",614,2101,438,0.7133550488599348,58.112049389103234,0.9985087513923645,0.0,41.54915379294023,0.024067878854608916,0.018787827342748642,0.0
LupinP1_2021_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/LupinP1_2021_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_4x/LupinP1_2021_Imagen3_SR_4x_01.jpg,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.698, Avg distance: 48.88)",4985,19546,3480,0.6980942828485457,48.88210522587272,0.9969789385795593,0.0,35.83898046725623,0.027902579452940512,0.020579231902956963,0.0
